"Rank[dp 1]","Mountain name(s)","Height(rounded)[dp 2]","Prominence(rounded)[dp 3]","Range","Coordinates[dp 4]","Parent mountain[dp 5]","Ascents before2004[dp 6]","Country","Photo","","","",""
"90","Muztagh Tower","7,276","23,871","1,710","5,610","Baltoro Karakoram","35°49′40″N 76°21′40″E﻿ / ﻿35.82778°N 76.36111°E﻿ / 35.82778; 76.36111﻿ (90. Muztagh Tower (7276 m))","Skil Brum","1956","4","2","Pakistan, China",""
"91","Mana Peak","7,272","23,858","732","2,402","Garhwal Himalaya","30°52′50″N 79°36′55″E﻿ / ﻿30.88056°N 79.61528°E﻿ / 30.88056; 79.61528﻿ (91. Mana Peak (7272 m))","Kamet","1937","7","3","India",""
"","Dhaulagiri VI","7,268","23,845","488","1,601","Dhaulagiri Himalaya","28°42′31″N 83°16′27″E﻿ / ﻿28.70861°N 83.27417°E﻿ / 28.70861; 83.27417﻿ (Dhaulagiri VI (7268 m))","Dhaulagiri IV","1970","5","0","Nepal",""
"92","Diran","7,266","23,839","1,329","4,360","Rakaposhi-Haramosh Karakoram","36°07′13″N 74°39′42″E﻿ / ﻿36.12028°N 74.66167°E﻿ / 36.12028; 74.66167﻿ (92. Diran (7266 m))","Malubiting","1968","12","8","Pakistan",""
"93","Labuche Kang IIILabuche Kang East","7,250","23,790[dp 15]","570","1,870","Labuche Himalaya","28°18′05″N 86°23′02″E﻿ / ﻿28.30139°N 86.38389°E﻿ / 28.30139; 86.38389﻿ (93. Labuche Kang III / East (7250 m))","Labuche Himilaya","","0","0","China",""
"94","Putha Hiunchuli","7,246","23,773","1,151","3,776","Dhaulagiri Himalaya","28°44′52″N 83°08′46″E﻿ / ﻿28.74778°N 83.14611°E﻿ / 28.74778; 83.14611﻿ (94. Putha Hiunchuli (7246 m))","Churen Himal","1954","11","5","Nepal",""
"95","Apsarasas Kangri","7,245","23,770","607","1,991","Siachen Karakoram","35°32′19″N 77°08′55″E﻿ / ﻿35.53861°N 77.14861°E﻿ / 35.53861; 77.14861﻿ (95. Apsarasas Kangri (7245 m))","Teram Kangri I","1976","2","0","IndiaChina[dp 13][dp 14]'[dp 12]",""
"96","Mukut Parbat","7,242","23,760","683","2,241","Garhwal Himalaya","30°56′57″N 79°34′12″E﻿ / ﻿30.94917°N 79.57000°E﻿ / 30.94917; 79.57000﻿ (96. Mukut Parbat (7242 m))","Kamet","1951","2","1","IndiaChina",""
"97","Rimo III","7,233","23,730","613","2,011","Rimo Karakoram","35°22′31″N 77°21′42″E﻿ / ﻿35.37528°N 77.36167°E﻿ / 35.37528; 77.36167﻿ (97. Rimo III (7233 m))","Rimo I","1985","1","0","India[dp 16]'[dp 12]",""
"98","Langtang Lirung","7,227","23,711","1,534","5,033","Langtang Himalaya","28°15′22″N 85°31′01″E﻿ / ﻿28.25611°N 85.51694°E﻿ / 28.25611; 85.51694﻿ (98. Langtang Lirung (7227 m))","Shishapangma","1978","14","13","Nepal",""
"99","Karjiang","7,221","23,691","895","2,936","Kula Kangri Himalaya","28°15′27″N 90°38′49″E﻿ / ﻿28.25750°N 90.64694°E﻿ / 28.25750; 90.64694﻿ (99. Karjiang (7221 m))","Kula Kangri","","0","2","China",""
"100","Annapurna Dakshin (Annapurna South)","7,219","23,684","769","2,523","Annapurna Himalaya","28°31′06″N 83°48′22″E﻿ / ﻿28.51833°N 83.80611°E﻿ / 28.51833; 83.80611﻿ (100. Annapurna Dakshin (7219 m))","Annapurna","1964","10","16","Nepal",""
"101","Khartaphu","7,213","23,665","712","2,336","Mahalangur Himalaya","28°03′49″N 86°58′39″E﻿ / ﻿28.06361°N 86.97750°E﻿ / 28.06361; 86.97750﻿ (101. Khartaphu (7213 m))","Mount Everest","1935","1","0","China",""
"102","Tongshanjiabu[20]","7,207","23,645","1,757","5,764","Lunana Himalaya","28°11′12″N 89°57′27″E﻿ / ﻿28.18667°N 89.95750°E﻿ / 28.18667; 89.95750﻿ (102. Tongshanjiabu (7207 m))","Gangkhar Puensum","","0","0","BhutanChina[dp 17]",""
"103","Malangutti Sar","7,207","23,645","507","1,663","Hispar Karakoram","36°21′47″N 75°08′57″E﻿ / ﻿36.36306°N 75.14917°E﻿ / 36.36306; 75.14917﻿ (103. Malangutti Sar (7207 m))","Distaghil Sar","1985","1","0","Pakistan[dp 18]",""
"104","Noijin KangsangNorin Kang","7,206","23,642","2,160","7,090","Nagarze Himalaya","28°56′48″N 90°10′42″E﻿ / ﻿28.94667°N 90.17833°E﻿ / 28.94667; 90.17833﻿ (104. Noijin Kangsang / Norin Kang   (7206 m))","Gangkhar Puensum","1986","4","1","China",""
"105","Langtang Ri","7,205","23,638","665","2,182","Langtang Himalaya","28°22′53″N 85°41′01″E﻿ / ﻿28.38139°N 85.68361°E﻿ / 28.38139; 85.68361﻿ (105. Langtang Ri (7205 m))","Shishapangma","1981","4","0","NepalChina",""
"106","Kangphu KangShimokangri","7,204","23,635","1,244","4,081","Lunana Himalaya","28°09′24″N 90°04′15″E﻿ / ﻿28.15667°N 90.07083°E﻿ / 28.15667; 90.07083﻿ (106. Kangphu Kang (7204 m))","Tongshanjiabu","2002","1","0[21]","BhutanChina[dp 17]",""
"107","Singhi Kangri","7,202","23,629","730","2,400","Siachen Karakoram","35°35′59″N 76°59′01″E﻿ / ﻿35.59972°N 76.98361°E﻿ / 35.59972; 76.98361﻿ (107. Singhi Kangri (7202 m))","Teram Kangri III","1976","2","0","IndiaChina[dp 13][dp 14]'[dp 12]",""
"108","Lupghar Sar","7,200","23,600","730","2,400","Hispar Karakoram","36°21′01″N 75°02′13″E﻿ / ﻿36.35028°N 75.03694°E﻿ / 36.35028; 75.03694﻿ (108. Lupghar Sar (7200 m)) *","Momhil Sar","1979","1","0","Pakistan[dp 18]",""
